unifs_originalFP;unifs_ecceFP;var0;var1;formula
28;36;true;true;Neg (Conj (Var (O), Neg (Conj (Var (S (O)), Var (O)))))
28;39;false;true;Neg (Conj (Var (O), Neg (Conj (Var (S (O)), Var (O)))))
28;36;true;true;Neg (Conj (Var (O), Neg (Conj (Var (O), Var (S (O))))))
28;39;false;true;Neg (Conj (Var (O), Neg (Conj (Var (O), Var (S (O))))))
26;32;true;_;Neg (Conj (Var (O), Neg (Conj (Var (O), Var (O)))))
26;35;false;_;Neg (Conj (Var (O), Neg (Conj (Var (O), Var (O)))))
27;38;true;false;Neg (Conj (Var (O), Disj (Var (S (O)), Var (S (O)))))
27;41;false;true;Neg (Conj (Var (O), Disj (Var (S (O)), Var (S (O)))))
27;38;false;false;Neg (Conj (Var (O), Disj (Var (S (O)), Var (S (O)))))
25;37;false;true;Neg (Conj (Var (O), Disj (Var (S (O)), Var (O))))
25;34;false;false;Neg (Conj (Var (O), Disj (Var (S (O)), Var (O))))
28;36;true;false;Neg (Conj (Var (O), Disj (Var (S (O)), Neg (Var (O)))))
28;39;false;true;Neg (Conj (Var (O), Disj (Var (S (O)), Neg (Var (O)))))
25;37;false;true;Neg (Conj (Var (O), Disj (Var (O), Var (S (O)))))
25;34;false;false;Neg (Conj (Var (O), Disj (Var (O), Var (S (O)))))
23;30;false;_;Neg (Conj (Var (O), Disj (Var (O), Var (O))))
28;36;false;true;Neg (Conj (Var (O), Disj (Var (O), Neg (Var (S (O))))))
28;36;true;false;Neg (Conj (Var (O), Disj (Neg (Var (O)), Var (S (O)))))
28;39;false;true;Neg (Conj (Var (O), Disj (Neg (Var (O)), Var (S (O)))))
27;41;true;false;Neg (Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
27;38;false;true;Neg (Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
25;37;true;false;Neg (Conj (Var (O), Conj (Var (S (O)), Var (O))))
25;37;false;true;Neg (Conj (Var (O), Conj (Var (S (O)), Var (O))))
25;37;false;false;Neg (Conj (Var (O), Conj (Var (S (O)), Var (O))))
28;36;false;true;Neg (Conj (Var (O), Conj (Var (S (O)), Neg (Var (O)))))
33;42;false;true;Neg (Conj (Var (O), Conj (Var (S (O)), Neg (Neg (Var (S (O)))))))
37;50;false;true;Neg (Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))))
38;48;false;true;Neg (Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Neg (Var (O))))))
33;45;true;false;Neg (Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O)))))
38;48;false;true;Neg (Conj (Var (O), Conj (Var (S (O)), Conj (Neg (Var (O)), Var (S (O))))))
25;37;true;false;Neg (Conj (Var (O), Conj (Var (O), Var (S (O)))))
25;37;false;true;Neg (Conj (Var (O), Conj (Var (O), Var (S (O)))))
25;37;false;false;Neg (Conj (Var (O), Conj (Var (O), Var (S (O)))))
23;33;false;_;Neg (Conj (Var (O), Conj (Var (O), Var (O))))
26;35;false;_;Neg (Conj (Var (O), Conj (Var (O), Neg (Var (O)))))
31;38;false;false;Neg (Conj (Var (O), Conj (Neg (Var (S (O))), Neg (Var (O)))))
28;36;false;true;Neg (Conj (Var (O), Conj (Neg (Var (O)), Var (S (O)))))
26;35;true;_;Neg (Conj (Var (O), Conj (Neg (Var (O)), Var (O))))
31;38;false;false;Neg (Conj (Var (O), Conj (Neg (Var (O)), Neg (Var (S (O))))))
29;34;false;_;Neg (Conj (Var (O), Conj (Neg (Var (O)), Neg (Var (O)))))
38;48;false;true;Neg (Conj (Var (O), Conj (Neg (Var (O)), Conj (Var (S (O)), Var (S (O))))))
37;50;false;true;Neg (Conj (Var (O), Conj (Conj (Var (S (O)), Var (S (O))), Var (S (O)))))
22;32;_;true;Neg (Conj (Neg (Var (S (O))), Var (S (O))))
22;32;_;false;Neg (Conj (Neg (Var (S (O))), Var (S (O))))
20;28;true;true;Neg (Conj (Neg (Var (S (O))), Var (O)))
20;28;false;true;Neg (Conj (Neg (Var (S (O))), Var (O)))
20;28;false;false;Neg (Conj (Neg (Var (S (O))), Var (O)))
23;30;true;true;Neg (Conj (Neg (Var (S (O))), Neg (Var (O))))
23;30;false;true;Neg (Conj (Neg (Var (S (O))), Neg (Var (O))))
30;40;true;true;Neg (Conj (Neg (Var (S (O))), Conj (Var (S (O)), Var (O))))
30;40;true;true;Neg (Conj (Neg (Var (S (O))), Conj (Var (O), Var (S (O)))))
28;36;true;true;Neg (Conj (Neg (Var (S (O))), Conj (Var (O), Var (O))))
20;28;true;true;Neg (Conj (Neg (Var (O)), Var (S (O))))
20;28;true;false;Neg (Conj (Neg (Var (O)), Var (S (O))))
20;28;false;false;Neg (Conj (Neg (Var (O)), Var (S (O))))
18;24;true;_;Neg (Conj (Neg (Var (O)), Var (O)))
18;24;false;_;Neg (Conj (Neg (Var (O)), Var (O)))
23;30;true;true;Neg (Conj (Neg (Var (O)), Neg (Var (S (O)))))
23;30;true;false;Neg (Conj (Neg (Var (O)), Neg (Var (S (O)))))
23;30;false;true;Neg (Conj (Neg (Var (O)), Neg (Var (S (O)))))
21;26;true;_;Neg (Conj (Neg (Var (O)), Neg (Var (O))))
24;28;true;_;Neg (Conj (Neg (Var (O)), Neg (Neg (Var (O)))))
26;35;true;_;Neg (Conj (Neg (Var (O)), Disj (Var (O), Var (O))))
26;32;false;_;Neg (Conj (Neg (Var (O)), Disj (Var (O), Var (O))))
30;40;true;true;Neg (Conj (Neg (Var (O)), Conj (Var (S (O)), Var (S (O)))))
28;36;true;true;Neg (Conj (Neg (Var (O)), Conj (Var (S (O)), Var (O))))
28;36;true;true;Neg (Conj (Neg (Var (O)), Conj (Var (O), Var (S (O)))))
26;32;true;_;Neg (Conj (Neg (Var (O)), Conj (Var (O), Var (O))))
34;40;true;_;Neg (Conj (Neg (Var (O)), Conj (Var (O), Conj (Var (O), Var (O)))))
25;34;false;true;Neg (Conj (Disj (Var (O), Var (O)), Var (S (O))))
25;34;true;false;Neg (Conj (Conj (Var (O), Var (O)), Var (S (O))))
26;32;true;_;Neg (Conj (Conj (Var (O), Var (O)), Neg (Var (O))))
16;28;_;true;Disj (Var (S (O)), Var (S (O)))
14;24;true;true;Disj (Var (S (O)), Var (O))
14;24;true;false;Disj (Var (S (O)), Var (O))
14;24;false;true;Disj (Var (S (O)), Var (O))
19;30;_;true;Disj (Var (S (O)), Neg (Var (S (O))))
19;30;_;false;Disj (Var (S (O)), Neg (Var (S (O))))
17;26;true;true;Disj (Var (S (O)), Neg (Var (O)))
17;26;false;true;Disj (Var (S (O)), Neg (Var (O)))
17;26;false;false;Disj (Var (S (O)), Neg (Var (O)))
22;32;_;true;Disj (Var (S (O)), Neg (Neg (Var (S (O)))))
20;28;true;true;Disj (Var (S (O)), Neg (Neg (Var (O))))
20;28;true;false;Disj (Var (S (O)), Neg (Neg (Var (O))))
20;28;false;true;Disj (Var (S (O)), Neg (Neg (Var (O))))
23;30;false;true;Disj (Var (S (O)), Neg (Neg (Neg (Var (O)))))
28;36;true;true;Disj (Var (S (O)), Neg (Neg (Conj (Var (O), Var (O)))))
25;34;false;true;Disj (Var (S (O)), Neg (Disj (Var (O), Var (O))))
25;34;false;false;Disj (Var (S (O)), Neg (Disj (Var (O), Var (O))))
27;38;true;true;Disj (Var (S (O)), Neg (Conj (Var (S (O)), Var (O))))
27;38;true;true;Disj (Var (S (O)), Neg (Conj (Var (O), Var (S (O)))))
27;41;false;true;Disj (Var (S (O)), Neg (Conj (Var (O), Var (S (O)))))
25;34;true;true;Disj (Var (S (O)), Neg (Conj (Var (O), Var (O))))
25;37;false;true;Disj (Var (S (O)), Neg (Conj (Var (O), Var (O))))
26;43;_;true;Disj (Var (S (O)), Disj (Var (S (O)), Var (S (O))))
24;39;true;true;Disj (Var (S (O)), Disj (Var (S (O)), Var (O)))
24;39;false;true;Disj (Var (S (O)), Disj (Var (S (O)), Var (O)))
24;39;true;true;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
24;39;false;true;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
22;35;true;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
22;35;true;false;Disj (Var (S (O)), Disj (Var (O), Var (O)))
22;32;false;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
27;38;false;true;Disj (Var (S (O)), Disj (Var (O), Neg (Var (S (O)))))
30;43;true;true;Disj (Var (S (O)), Disj (Var (O), Conj (Var (O), Var (O))))
26;40;_;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
24;36;true;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (O)))
24;39;false;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (O)))
27;38;false;true;Disj (Var (S (O)), Conj (Var (S (O)), Neg (Var (O))))
34;48;true;true;Disj (Var (S (O)), Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
34;48;true;true;Disj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
32;44;true;true;Disj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (O))))
24;36;true;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
24;39;false;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
22;32;true;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
22;32;true;false;Disj (Var (S (O)), Conj (Var (O), Var (O)))
22;35;false;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
27;38;true;false;Disj (Var (S (O)), Conj (Var (O), Neg (Var (S (O)))))
25;37;false;true;Disj (Var (S (O)), Conj (Var (O), Neg (Var (O))))
28;36;true;true;Disj (Var (S (O)), Conj (Var (O), Neg (Neg (Var (O)))))
30;43;true;true;Disj (Var (S (O)), Conj (Var (O), Disj (Var (O), Var (O))))
34;48;true;true;Disj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
32;44;true;true;Disj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (O))))
32;44;true;true;Disj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (S (O)))))
30;40;true;true;Disj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
30;40;true;false;Disj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
38;48;true;true;Disj (Var (S (O)), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O)))))
27;38;false;true;Disj (Var (S (O)), Conj (Neg (Var (O)), Var (S (O))))
25;37;true;true;Disj (Var (S (O)), Conj (Neg (Var (O)), Var (O)))
28;36;false;true;Disj (Var (S (O)), Conj (Neg (Var (O)), Neg (Var (O))))
28;36;false;false;Disj (Var (S (O)), Conj (Neg (Var (O)), Neg (Var (O))))
32;44;true;true;Disj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Var (S (O))))
30;40;true;true;Disj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Var (O)))
30;40;true;false;Disj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Var (O)))
14;24;true;true;Disj (Var (O), Var (S (O)))
14;24;true;false;Disj (Var (O), Var (S (O)))
14;24;false;true;Disj (Var (O), Var (S (O)))
12;20;true;_;Disj (Var (O), Var (O))
17;26;true;true;Disj (Var (O), Neg (Var (S (O))))
17;26;true;false;Disj (Var (O), Neg (Var (S (O))))
17;26;false;false;Disj (Var (O), Neg (Var (S (O))))
15;22;true;_;Disj (Var (O), Neg (Var (O)))
15;22;false;_;Disj (Var (O), Neg (Var (O)))
20;28;true;true;Disj (Var (O), Neg (Neg (Var (S (O)))))
20;28;true;false;Disj (Var (O), Neg (Neg (Var (S (O)))))
20;28;false;true;Disj (Var (O), Neg (Neg (Var (S (O)))))
18;24;true;_;Disj (Var (O), Neg (Neg (Var (O))))
23;30;true;false;Disj (Var (O), Neg (Neg (Neg (Var (S (O))))))
21;26;true;_;Disj (Var (O), Neg (Neg (Neg (Var (O)))))
21;26;false;_;Disj (Var (O), Neg (Neg (Neg (Var (O)))))
28;36;true;true;Disj (Var (O), Neg (Neg (Conj (Var (S (O)), Var (O)))))
28;36;true;true;Disj (Var (O), Neg (Neg (Conj (Var (O), Var (S (O))))))
26;32;true;_;Disj (Var (O), Neg (Neg (Conj (Var (O), Var (O)))))
27;38;true;false;Disj (Var (O), Neg (Disj (Var (S (O)), Var (S (O)))))
25;34;false;false;Disj (Var (O), Neg (Disj (Var (S (O)), Var (O))))
28;36;true;false;Disj (Var (O), Neg (Disj (Var (S (O)), Neg (Var (O)))))
25;34;false;false;Disj (Var (O), Neg (Disj (Var (O), Var (S (O)))))
23;33;true;_;Disj (Var (O), Neg (Disj (Var (O), Var (O))))
23;30;false;_;Disj (Var (O), Neg (Disj (Var (O), Var (O))))
28;36;true;false;Disj (Var (O), Neg (Disj (Neg (Var (O)), Var (S (O)))))
